1 1510178692380 121.569 59.9628
4 1510178692490 122.904 59.9627
1 1510178692547 121.602 59.9634
4 1510178692656 122.859 59.9634
1 1510178692713 121.388 59.9595
4 1510178692823 122.893 59.9633
1 1510178692880 121.059 59.9631
4 1510178692990 122.875 59.9627
1 1510178693046 121.213 59.9688
4 1510178693156 122.876 59.9647
1 1510178693213 121.501 59.9649
4 1510178693323 122.883 59.9655
1 1510178693380 121.534 59.9654
4 1510178693490 122.907 59.9655
1 1510178693546 121.568 59.9658
4 1510178693656 122.912 59.9658
1 1510178693713 121.583 59.9647
4 1510178693823 122.912 59.9654
1 1510178693880 121.551 59.9654
4 1510178693990 122.888 59.9658
1 1510178694046 121.558 59.9678
4 1510178694157 122.896 59.9666
1 1510178694213 121.595 59.9669
4 1510178694323 122.914 59.9662
1 1510178694380 121.629 59.9679
4 1510178694490 122.912 59.9672
1 1510178694546 121.669 59.968
4 1510178694656 122.896 59.9681
1 1510178694713 121.68 59.9683
4 1510178694823 122.894 59.9694
1 1510178694880 121.682 59.9706
4 1510178694990 122.899 59.9698
1 1510178695046 121.702 59.9694
4 1510178695156 122.913 59.9697
1 1510178695213 121.734 59.9694
4 1510178695323 122.939 59.9687
1 1510178695380 121.78 59.9692
4 1510178695491 122.962 59.9695
1 1510178695546 121.818 59.97
4 1510178695656 122.982 59.9702
1 1510178695713 121.816 59.9702
4 1510178695823 122.991 59.9706
1 1510178695880 121.802 59.9727
4 1510178695990 122.975 59.9705
1 1510178696046 121.769 59.9722
4 1510178696156 122.963 59.9709
1 1510178696213 121.747 59.9719
4 1510178696323 122.98 59.9716
1 1510178696380 121.727 59.9726
4 1510178696490 122.986 59.973
1 1510178696546 121.794 59.9725
4 1510178696656 122.974 59.9731
1 1510178696713 121.769 59.9735
4 1510178696823 122.963 59.9731
1 1510178696880 121.735 59.9742
4 1510178696990 122.981 59.9741
1 1510178697046 121.72 59.9743
4 1510178697156 123.047 59.9753
1 1510178697213 121.756 59.9757
4 1510178697323 123.086 59.9757
1 1510178697380 121.787 59.9762
4 1510178697490 123.075 59.9771
1 1510178697546 121.802 59.9771
4 1510178697656 123.047 59.9782
1 1510178697713 121.809 59.9803
4 1510178697823 123.04 59.979
1 1510178697880 121.826 59.9804
4 1510178697990 123.042 59.9801
1 1510178698046 121.816 59.9813
4 1510178698156 123.038 59.9806
1 1510178698213 121.826 59.9822
4 1510178698323 123.039 59.9815
1 1510178698380 121.843 59.9821
4 1510178698490 123.029 59.9825
1 1510178698546 121.848 59.982
4 1510178698656 123.015 59.9827
1 1510178698713 121.888 59.9843
1 1510178698880 121.898 59.9843
4 1510178698823 123.015 59.9829
4 1510178698990 122.982 59.9835
1 1510178699046 121.9 59.9843
4 1510178699156 122.974 59.9842
